指标,地区,频度,单位,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
国内生产总值,望城区,年,万元,488673,497176,548901,609119,669362,807834,1000156,1177606,1453066,1940876,1933776,2429695.4,3274267,3748847,4274940,4697660
国内生产总值,长沙县,年,万元,837119,871702,966727,1065309,1254233,1494922,1905737,2300229,2859672,3696030,5148678,6301104.2,7899458,8800904,9759923,11005780
国内生产总值,宁乡县,年,万元,622218,617170,680472,744514,838684,1022079,1437850,1692895,2072338,2824099,3675754,4895815.42,6379462,7324953,8350486,9102255
国内生产总值,浏阳市,年,万元,665982,675458,746008,821483,1008792,1209731,1760060,2069440,2527188,3371794,4188016,5567848.11,7021539,8111256,9242905,10128321
国内生产总值,株洲县,年,万元,227105,241459,250532,273604,300381,356656,369253,421143,450104,569359,634096,771112,690918,796214,895993,1022034
国内生产总值,攸县,年,万元,425604,462611,443730,485351,530547,631561,748575,846859,1050825,1268689,1384820,1738180,2181394,2515254,2825491,3135888
国内生产总值,茶陵县,年,万元,184133,199496,217303,238325,255481,305655,400229,456167,494706,615018,673639,821248,1016785,1158528,1294142,1446022
国内生产总值,炎陵县,年,万元,73558,78762,85678,93571,101326,118033,122550,138689,195281,203876,228316,286599,363000,425054,488253,552611
国内生产总值,醴陵市,年,万元,514653.3,555548,613290,677933,752491,927352,1099851,1337251,1520598,1881731,2117652,2657467,3381421,3955347,4421034,4883654
国内生产总值,湘潭县,年,万元,501278,508930,527316,573238,565529,705159,751608,866053,1124906,1351549,1485346,1720884,1957780,2272764,2600064,2940771
国内生产总值,湘乡市,年,万元,481962,484177,484504,515559,521574,658716,671494,775604,990978,1200816,1351008,1617679,2023865,2317473,2656934,2997745
国内生产总值,韶山市,年,万元,72994,73838,73005,81461,90902,118075,130726,153065,191991,235571,255857,307850,394392,495681,575618,647395
国内生产总值,衡阳县,年,万元,417684,448941,473363,529287,565939,686810,756857,848369,1001248,1166481.5,1289238,1549301.15,1880394,2149505,2389523,2632969
国内生产总值,衡南县,年,万元,471521,515654,493460,523070,576825,704021,775700,870061,996950,1171784.4,1267443,1539365.97,1848072,2101936,2298631,2525432
国内生产总值,衡山县,年,万元,183926,188897,193199,209331,230772,279977,297702,333898,386674,473303.3,576811,689315.68,849947,971888,1073098,1190135
国内生产总值,衡东县,年,万元,319051,294364,302695,314946,361582,444753,498480,572995,718180,861895.6,1024530,1239865.62,1517198,1740885,1932369,2134301
国内生产总值,祁东县,年,万元,404414,437819,430521,469471,511780,631490,681993,768156,976669,1161299.5,1167787,1304546,1583251,1771812,1965211,2182950
国内生产总值,耒阳市,年,万元,515910,558321,514017,531632,584173,769897,1004110,1147939,1323889,1614406.5,1949818,2400820.63,2928814,3021344,3214008,3558540
国内生产总值,常宁市,年,万元,375384,406928,385588,409597,476910,585673,622239,712774,833369,1032328.4,1195361,1431323.65,1752363,1988618,2216755,2448805
国内生产总值,邵东县,年,万元,681200,750880,711712,744000,774808,910045,713868,810757,892068,1074962,1217606,1611123,2021522,2289787,2542724,2830484
国内生产总值,新邵县,年,万元,213712,223918,209238,221327,247903,286498,284863,327232,393933,481928,491238,590453,752618,859086,949427,1065136
国内生产总值,邵阳县,年,万元,239998,209053,187947,208204,219935,256128,302678,343773,400362,492233,532255,652602,810855,903124,994487,1113475
国内生产总值,隆回县,年,万元,269345,277986,275362,294701,313433,354825,359694,407334,478310,571381,625361,755376,933207,1051084,1121665,1260668
国内生产总值,洞口县,年,万元,267592,285403,292779,322650,358578,418128,399438,451417,522949,597701,586614,707587,901212,1028583,1133207,1256758
国内生产总值,绥宁县,年,万元,167723,180108,150914,166328,184519,208420,228449,264445,319392,337541,332033,407093,501845,565806,622655,690487
国内生产总值,新宁县,年,万元,159978,157656,144901,154117,167391,201832,208249,236332,282325,330797,363635,432672,530747,606463,672063,754080
国内生产总值,城步苗族自治县,年,万元,58333,62454,65954,77581,88613,104319,136446,147245,159351,182505,159691,186951,232063,256951,272609,301494
国内生产总值,武冈市,年,万元,233820,253190,229555,240079,260198,310504,328534,372399,427611,525262,530590,619692,793257,904674,954211,1070581
国内生产总值,岳阳县,年,万元,314141,331804,371951,430878,458974,518162,562973,600028,779065,962528,1105683,1356338,1660654,1897397,2117214,2375640
国内生产总值,华容县,年,万元,328060,380438,384983,439045,501007,577341,631337,736052,934359,1143484,1340889,1652830,2038826,2165414,2406848,2656114
国内生产总值,湘阴县,年,万元,302067,336145,387309,451361,504725,568268,630911,714721,894775,1073384,1293730,1587368,1956926,2326467,2602271,2919958
国内生产总值,平江县,年,万元,303432,284060,314011,386483,399039,465834,516652,596908,736297,891192,976422,1169663,1432382,1644417,1834183,1987672
国内生产总值,汨罗市,年,万元,298364,320000,361978,429932,468100,535504,545889,646602,850915,1028192,1362656,1649361,2598537,2954848,3289940,3651068
国内生产总值,临湘市,年,万元,189678,201026,223799,298364,311581,365200,353349,411336,538195,708123,960060,1155185,1408843,1596772,1790214,1977417
国内生产总值,安乡县,年,万元,217187,237905,260693,289118,330340,382493,476050,532601,626033,699606,836631,1015612,1201823,1248220,1283177,1351107
国内生产总值,汉寿县,年,万元,293190,312250,326520,355059,354536,440645,505415,578267,664125,834017,984098,1165110,1396724,1578790,1807631,2008810
国内生产总值,澧县,年,万元,365140,394871,442117,492967,557874,652208,652693,738100,870160,1008902,1264763,1502799,1811741,2032238,2262009,2525276
国内生产总值,临澧县,年,万元,237070,238406,250925,291787,309077,347010,389381,433430,503158,554907,662559,783463,929213,1035455,1162603,1279136
国内生产总值,桃源县,年,万元,562502,594032,582317,547098,573320,702386,712914,798212,935908,1093673,1266330,1495127,1757898,1960257,2214848,2507804
国内生产总值,石门县,年,万元,266239,280170,312701,346127,386150,476966,554252,619619,693250,766746,1031954,1222254,1464056,1629301,1805644,1938447
国内生产总值,津市市,年,万元,113743,120161,139075,160632,180745,214434,264634,298424,356022,424904,525528,637243,777446,870687,969690,1067431
国内生产总值,慈利县,年,万元,185357,200298,198736,206322,231868,263727,350960,400546,489532,555806,667924,804282,1010972,1137805,1239487,1380589
国内生产总值,桑植县,年,万元,67895,74155,78155,84876,93683,110319,174919,204417,247876,286784,329043,395327,485617,561545,605568,679164
国内生产总值,南县,年,万元,229807,222650,237634,252262,282665,375504,386333,427162,516250,620338,885144,878616,1367731,1556802,1723792,1922747
国内生产总值,桃江县,年,万元,200056,217210,214285,237161,263406,324957,416763,480416,600553,751288,893102,1065293,1311938,1516209,1684096,1880764
国内生产总值,安化县,年,万元,265019,288132,216851,234485,260956,327361,385125,440687,535554,633287,750570,885044,1117235,1322533,1464844,1628404
国内生产总值,沅江市,年,万元,319531,338836,331287,361874,403305,499855,573214,654909,798473,959635,994019,1231887,1527911,1760340,1951252,2176509
国内生产总值,桂阳县,年,万元,325924,358932,383942,400349,441863,534128,639425,756850,927802,1071430,1230015,1583783,2000242,2302318,2564619,2897962
国内生产总值,宜章县,年,万元,223808,247224,236169,275716,306130,386722,471742,547684,541101,648416,534129,682347,921012,1045521,1471860,1666622
国内生产总值,永兴县,年,万元,272602,300328,296873,316525,362060,448296,539727,630371,805122,974702,1095805,1518089,1888204,2138179,2377025,2668239
国内生产总值,嘉禾县,年,万元,156356,169892,168062,192915,210119,249585,299627,346927,411645,485843,539243,679210,850054,960819,1069380,1184550
国内生产总值,临武县,年,万元,129854,144273,157689,181640,218750,273454,342543,355890,419571,402487,462179,588575,723479,819107,903898,1002902
国内生产总值,汝城县,年,万元,121228,137071,143843,134510,167485,216608,285048,318563,300390,224454,204728,262807,333055,375595,419286,468475
国内生产总值,桂东县,年,万元,39696,42850,46116,51387,55546,67532,77387,89264,96309,108698,115161,137030,172991,195591,218764,245417
国内生产总值,安仁县,年,万元,140916,136120,123375,174394,199258,251311,295569,354258,302753,319851,275855,343095,437780,494121,602255,698497
国内生产总值,资兴市,年,万元,290311,318969,296985,327318,390300,492205,588009,655286,829552,1051324,1197369,1561434,1967476,2226103,2473685,2770768
国内生产总值,祁阳县,年,万元,384558,402679,356612,403469,466223,553193,636511,728352,878453,1011715,1071985,1285662,1587599,1770528,1965172,2186845
国内生产总值,东安县,年,万元,269275,294587,280492,294935,323702,377605,384185,439790,543377,626682,698912,836873,1026775,1149536,1271995,1386090
国内生产总值,双牌县,年,万元,67586,73017,66257,73168,82890,98484,127433,150441,162382,207607,224766,272826,334549,372799,407325,464533
国内生产总值,道县,年,万元,277592,290503,255453,278284,300957,348884,361494,414623,512890,600968,659592,791643,979556,1103406,1235709,1387282
国内生产总值,江永县,年,万元,96304,101067,109440,112791,129092,149587,149415,164771,201743,229625,237105,290446,355976,401225,444801,474774
